id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
mens-anderson-university-indiana,Anderson University (Indiana),boys,Anderson,SC,34.5152,-82.640358,Heartland Collegiate Athletic Conference,66,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Heartland Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.andersonuniversity.edu/
mens-anna-maria-college,Anna Maria College,boys,Paxton,MA,42.330542,-71.91896,Massachusetts State Collegiate Athletic Conference,69,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Massachusetts State Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.annamaria.edu/
mens-arcadia-university,Arcadia University,boys,Glenside,PA,40.092606,-75.163876,Middle Atlantic Conferences,72,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Middle Atlantic Conferences. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.arcadia.edu/
mens-asbury-university,Asbury University,boys,Wilmore,KY,37.862029,-84.662606,Collegiate Conference of the South,63,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Collegiate Conference of the South. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.asbury.edu/
mens-augsburg-university,Augsburg University,boys,Minneapolis,MN,44.966307,-93.240436,Minnesota Intercollegiate Athletic Conference,89,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Minnesota Intercollegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing stronger soccer relative to academic selectivity. Verify roster fit, admissions, and aid directly with the school.",https://www.augsburg.edu/
mens-augustana-college-illinois,Augustana College (Illinois),boys,Rock Island,IL,41.502365,-90.55057,College Conference of Illinois & Wisconsin,79,83,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the College Conference of Illinois & Wisconsin. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.augustana.edu/
mens-aurora-university,Aurora University,boys,Aurora,IL,41.753631,-88.349023,Northern Athletics Collegiate Conference,68,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Northern Athletics Collegiate Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://aurora.edu/
mens-austin-college,Austin College,boys,Sherman,TX,33.646345,-96.596331,Southern Collegiate Athletic Conference,75,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.austincollege.edu/
mens-averett-university,Averett University,boys,Danville,VA,36.577287,-79.413203,Old Dominion Athletic Conf.,77,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Old Dominion Athletic Conf.. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.averett.edu/
mens-babson-college,Babson College,boys,Wellesley,MA,42.297017,-71.264057,New England Women's and Men's Athletic Conference,68,92,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the New England Women's and Men's Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.babson.edu/
mens-baldwin-wallace-university,Baldwin Wallace University,boys,Berea,OH,41.373017,-81.851145,Ohio Athletic Conference,73,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Ohio Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bw.edu/
mens-bard-college,Bard College,boys,Annandale-On-Hudson,NY,42.020386,-73.909927,Liberty League,78,88,Liberal Arts|Economics|Political Science,Private,,,"Auto-generated profile: Private program in the Liberty League. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.bard.edu/
mens-baruch-college,Baruch College,boys,New York,NY,40.740238,-73.983417,City University of New York Athletic Conference,60,68,Business|Psychology|Education,Public,,,"Auto-generated profile: Public program in the City University of New York Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.baruch.cuny.edu/
mens-bates-college,Bates College,boys,Lewiston,ME,44.105299,-70.203333,New England Small College Athletic Conference,86,94,Liberal Arts|Economics|Political Science,Private,,,"Auto-generated profile: Private program in the New England Small College Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing both high-level soccer and strong academics. Verify roster fit, admissions, and aid directly with the school.",https://www.bates.edu/
mens-belhaven-university,Belhaven University,boys,Jackson,MS,32.318415,-90.169228,Collegiate Conference of the South,63,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Collegiate Conference of the South. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.belhaven.edu/
mens-beloit-college,Beloit College,boys,Beloit,WI,42.504022,-89.029285,Midwest Conference,68,84,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Midwest Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.beloit.edu/
mens-benedictine-university-illinois,Benedictine University (Illinois),boys,Lisle,IL,41.777569,-88.097307,Northern Athletics Collegiate Conference,68,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Northern Athletics Collegiate Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.ben.edu/
mens-berea-college,Berea College,boys,Berea,KY,37.57202,-84.292893,Heartland Collegiate Athletic Conference,66,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Heartland Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.berea.edu/
mens-berry-college,Berry College,boys,Mount Berry,GA,34.290414,-85.189202,Southern Athletic Association,74,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.berry.edu/
mens-bethany-college-west-virginia,Bethany College (West Virginia),boys,Lindsborg,KS,38.580598,-97.67367,Presidents' Athletic Conference,67,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Presidents' Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bethanylb.edu/
mens-bethany-lutheran-college,Bethany Lutheran College,boys,Mankato,MN,44.166649,-93.990805,Upper Midwest Athletic Conference,61,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Upper Midwest Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.blc.edu/
mens-bethel-university-minnesota,Bethel University (Minnesota),boys,Saint Paul,MN,45.057655,-93.161663,Minnesota Intercollegiate Athletic Conference,80,76,Business|Education|Biology,Private,,,"Auto-generated profile: Private program in the Minnesota Intercollegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bethel.edu/
mens-blackburn-college,Blackburn College,boys,Carlinville,IL,39.287896,-89.870241,St. Louis Intercollegiate Athletic Conference,64,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the St. Louis Intercollegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.blackburn.edu/
mens-bluffton-university,Bluffton University,boys,Bluffton,OH,40.895606,-83.899439,Heartland Collegiate Athletic Conference,66,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Heartland Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bluffton.edu/
mens-bowdoin-college,Bowdoin College,boys,Brunswick,ME,43.907134,-69.963942,New England Small College Athletic Conference,96,96,Liberal Arts|Economics|Political Science,Private,,,"Auto-generated profile: Private program in the New England Small College Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing both high-level soccer and strong academics. Verify roster fit, admissions, and aid directly with the school.",https://www.bowdoin.edu/
mens-brandeis-university,Brandeis University,boys,Waltham,MA,42.365727,-71.260155,University Athletic Association,96,94,Biology|Economics|Computer Science,Private,,,"Auto-generated profile: Private program in the University Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing both high-level soccer and strong academics. Verify roster fit, admissions, and aid directly with the school.",https://www.brandeis.edu/
mens-brevard-college,Brevard College,boys,Brevard,NC,35.236763,-82.729494,USA South Athletic Conference,67,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the USA South Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.brevard.edu/
mens-bridgewater-college-virginia,Bridgewater College (Virginia),boys,Bridgewater,VA,38.378484,-78.969007,Old Dominion Athletic Conf.,77,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Old Dominion Athletic Conf.. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bridgewater.edu/
mens-bridgewater-state-university,Bridgewater State University,boys,Bridgewater,MA,41.98749,-70.974553,Massachusetts State Collegiate Athletic Conference,69,68,Business|Psychology|Education,Public,,,"Auto-generated profile: Public program in the Massachusetts State Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bridgew.edu/
mens-brooklyn-college,Brooklyn College,boys,Brooklyn,NY,40.631517,-73.949898,City University of New York Athletic Conference,60,68,Business|Psychology|Education,Public,,,"Auto-generated profile: Public program in the City University of New York Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.brooklyn.cuny.edu/
mens-buena-vista-university,Buena Vista University,boys,Storm Lake,IA,42.642255,-95.208529,American Rivers Conference,72,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the American Rivers Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.bvu.edu/
mens-buffalo-state-state-university-of-new-york,"Buffalo State, State University of New York",boys,Buffalo,NY,42.933832,-78.882125,State University of New York Athletic Conference,68,68,Business|Psychology|Education,Public,,,"Auto-generated profile: Public program in the State University of New York Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://suny.buffalostate.edu/
mens-cairn-university,Cairn University,boys,Langhorne,PA,40.165809,-74.909509,United East Conference,68,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the United East Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.cairn.edu/
mens-california-institute-of-technology,California Institute of Technology,boys,Pasadena,CA,34.137349,-118.125878,Southern California Intercollegiate Athletic Conf.,82,100,Engineering|Computer Science|Math,Private,,,"Auto-generated profile: Private program in the Southern California Intercollegiate Athletic Conf.. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.caltech.edu/
mens-california-lutheran-university,California Lutheran University,boys,Thousand Oaks,CA,34.224566,-118.878924,Southern California Intercollegiate Athletic Conf.,82,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern California Intercollegiate Athletic Conf.. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.callutheran.edu/
mens-calvin-university,Calvin University,boys,Grand Rapids,MI,42.929916,-85.587548,Michigan Intercollegiate Athletic Association,81,76,Business|Education|Biology,Private,,,"Auto-generated profile: Private program in the Michigan Intercollegiate Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.calvin.edu/
mens-capital-university,Capital University,boys,Columbus,OH,39.954875,-82.937867,Ohio Athletic Conference,73,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Ohio Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.capital.edu/
mens-carleton-college,Carleton College,boys,Northfield,MN,44.462318,-93.154666,Minnesota Intercollegiate Athletic Conference,80,96,Liberal Arts|Economics|Political Science,Private,,,"Auto-generated profile: Private program in the Minnesota Intercollegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.carleton.edu/
mens-carlow-university,Carlow University,boys,Pittsburgh,PA,40.439293,-79.963448,Allegheny Mountain Collegiate Conference,68,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Allegheny Mountain Collegiate Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.carlow.edu/
mens-carnegie-mellon-university,Carnegie Mellon University,boys,Pittsburgh,PA,40.44357,-79.941993,University Athletic Association,97,98,Engineering|Computer Science|Math,Private,,,"Auto-generated profile: Private program in the University Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing both high-level soccer and strong academics. Verify roster fit, admissions, and aid directly with the school.",https://www.cmu.edu/
mens-carroll-university-wisconsin,Carroll University (Wisconsin),boys,Waukesha,WI,43.004527,-88.228114,College Conference of Illinois & Wisconsin,79,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the College Conference of Illinois & Wisconsin. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.carrollu.edu/
mens-carthage-college,Carthage College,boys,Kenosha,WI,42.622969,-87.820924,College Conference of Illinois & Wisconsin,79,75,Art|Design|Architecture,Private,,,"Auto-generated profile: Private program in the College Conference of Illinois & Wisconsin. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.carthage.edu/
mens-case-western-reserve-university,Case Western Reserve University,boys,Cleveland,OH,41.507419,-81.609596,University Athletic Association,94,94,Biology|Economics|Computer Science,Private,,,"Auto-generated profile: Private program in the University Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing both high-level soccer and strong academics. Verify roster fit, admissions, and aid directly with the school.",https://www.case.edu/
mens-catholic-university,Catholic University,boys,Washington,DC,38.933651,-76.997909,Landmark Conference,70,76,Business|Education|Biology,Private,,,"Auto-generated profile: Private program in the Landmark Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.catholic.edu/
mens-centenary-college-louisiana,Centenary College (Louisiana),boys,Shreveport,LA,32.483335,-93.730834,Southern Collegiate Athletic Conference,75,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern Collegiate Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.centenary.edu/
mens-centenary-university-new-jersey,Centenary University (New Jersey),boys,Hackettstown,NJ,40.84764,-74.833644,Atlantic East Conference,63,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Atlantic East Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.centenaryuniversity.edu/
mens-central-college-iowa,Central College (Iowa),boys,Pella,IA,41.401539,-92.922199,American Rivers Conference,72,75,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the American Rivers Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.central.edu/
mens-centre-college,Centre College,boys,Danville,KY,37.645709,-84.779392,Southern Athletic Association,74,85,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern Athletic Association. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.centre.edu/
mens-chapman-university,Chapman University,boys,Orange,CA,33.79302,-117.852518,Southern California Intercollegiate Athletic Conf.,82,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern California Intercollegiate Athletic Conf.. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.chapman.edu/
mens-chatham-university,Chatham University,boys,Pittsburgh,PA,40.448432,-79.926083,Presidents' Athletic Conference,67,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Presidents' Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.chatham.edu/
mens-christopher-newport-university,Christopher Newport University,boys,Newport News,VA,37.062495,-76.494364,Coast-To-Coast Athletic Conference,84,76,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Coast-To-Coast Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://cnu.edu/
mens-claremont-mckenna-harvey-mudd-scripps-colleges,Claremont McKenna-Harvey Mudd-Scripps Colleges,boys,Claremont,CA,34.102154,-117.711188,Southern California Intercollegiate Athletic Conf.,82,97,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the Southern California Intercollegiate Athletic Conf.. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.cmc.edu/
mens-clark-university-massachusetts,Clark University (Massachusetts),boys,Worcester,MA,42.249987,-71.823356,New England Women's and Men's Athletic Conference,68,86,Business|Biology|Psychology,Private,,,"Auto-generated profile: Private program in the New England Women's and Men's Athletic Conference. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families prioritizing academics first while still staying in the D3 soccer market. Verify roster fit, admissions, and aid directly with the school.",https://www.clarku.edu/
mens-clarkson-university,Clarkson University,boys,Potsdam,NY,44.662716,-74.999359,Liberty League,78,76,Engineering|Computer Science|Math,Private,,,"Auto-generated profile: Private program in the Liberty League. Academic score is a heuristic estimate based on institutional reputation and school type; soccer score combines conference strength with recent ranking signals. This profile is best for families seeking a balanced D3 fit and a wider range of admissions outcomes. Verify roster fit, admissions, and aid directly with the school.",https://www.clarkson.edu/
