id,school,gender,city,state,lat,lng,conference,soccerLevel,academicLevel,academicKnownFor,type,enrollment,nickname,notes,website
d1g-14,University 14,girls,City14,GA,31.838,-116.1702,Sun Belt,75,80,Health Sciences|Engineering,Public,33037,Eagles,Competitive D1 program with solid development environment.,https://www.university14.edu
d1g-15,University 15,girls,City15,TX,38.775,-78.5859,Big 12,72,64,Psychology|Business,Public,12458,Eagles,Competitive D1 program with solid development environment.,https://www.university15.edu
d1g-16,University 16,girls,City16,VA,37.2142,-117.568,SEC,80,75,Communications|Business,Public,37343,Bulldogs,Competitive D1 program with solid development environment.,https://www.university16.edu
d1g-17,University 17,girls,City17,CA,41.2709,-73.8711,Ivy,70,99,Health Sciences|Biology,Private,33844,Huskies,Competitive D1 program with solid development environment.,https://www.university17.edu
d1g-18,University 18,girls,City18,MI,33.4792,-114.5847,Ivy,92,76,Biology|Psychology,Private,46103,Bruins,Competitive D1 program with solid development environment.,https://www.university18.edu
d1g-19,University 19,girls,City19,NC,31.6726,-79.4569,Ivy,76,82,Engineering|Business,Public,6729,Eagles,Competitive D1 program with solid development environment.,https://www.university19.edu
d1g-20,University 20,girls,City20,FL,39.4117,-117.5719,WCC,82,71,Engineering|Health Sciences,Public,18358,Bruins,Competitive D1 program with solid development environment.,https://www.university20.edu
d1g-21,University 21,girls,City21,CA,29.5285,-77.1945,Pac-12,99,98,Psychology|Health Sciences,Public,37959,Bulldogs,Competitive D1 program with solid development environment.,https://www.university21.edu
d1g-22,University 22,girls,City22,TX,40.9991,-108.4916,AAC,79,66,Communications|Psychology,Public,29334,Tigers,Competitive D1 program with solid development environment.,https://www.university22.edu
d1g-23,University 23,girls,City23,NC,42.2997,-105.2378,SEC,76,94,Biology|Business,Private,45143,Huskies,Competitive D1 program with solid development environment.,https://www.university23.edu
d1g-24,University 24,girls,City24,NC,28.609,-86.8524,C-USA,87,69,Business|Biology,Private,23254,Huskies,Competitive D1 program with solid development environment.,https://www.university24.edu
d1g-25,University 25,girls,City25,CA,34.9484,-103.2148,ACC,97,77,Business|Health Sciences,Private,17800,Eagles,Competitive D1 program with solid development environment.,https://www.university25.edu
d1g-26,University 26,girls,City26,PA,38.1392,-80.3075,ACC,91,93,Health Sciences|Psychology,Public,49770,Bruins,Competitive D1 program with solid development environment.,https://www.university26.edu
d1g-27,University 27,girls,City27,FL,40.6684,-90.1003,AAC,81,86,Communications|Health Sciences,Public,43875,Huskies,Competitive D1 program with solid development environment.,https://www.university27.edu
d1g-28,University 28,girls,City28,FL,28.842,-70.972,WCC,83,78,Engineering|Biology,Public,24773,Wildcats,Competitive D1 program with solid development environment.,https://www.university28.edu
d1g-29,University 29,girls,City29,PA,32.6723,-117.9798,Big 12,84,74,Business|Psychology,Private,38995,Bruins,Competitive D1 program with solid development environment.,https://www.university29.edu
d1g-30,University 30,girls,City30,NC,29.7116,-117.396,Sun Belt,89,69,Health Sciences|Engineering,Public,21593,Cardinal,Competitive D1 program with solid development environment.,https://www.university30.edu
d1g-31,University 31,girls,City31,GA,26.1853,-77.3538,SEC,75,66,Business|Health Sciences,Private,44992,Wildcats,Competitive D1 program with solid development environment.,https://www.university31.edu
d1g-32,University 32,girls,City32,MI,44.2445,-72.0086,WCC,93,62,Communications|Psychology,Private,16442,Tigers,Competitive D1 program with solid development environment.,https://www.university32.edu
d1g-33,University 33,girls,City33,NC,38.9435,-82.418,WCC,71,61,Business|Psychology,Private,41984,Tigers,Competitive D1 program with solid development environment.,https://www.university33.edu
d1g-34,University 34,girls,City34,OH,34.2693,-108.7353,Pac-12,70,74,Communications|Health Sciences,Private,13131,Cardinal,Competitive D1 program with solid development environment.,https://www.university34.edu
d1g-35,University 35,girls,City35,NY,36.7364,-112.4457,Big 12,83,95,Business|Communications,Public,33392,Bulldogs,Competitive D1 program with solid development environment.,https://www.university35.edu
d1g-36,University 36,girls,City36,GA,27.3385,-77.7425,SEC,76,84,Business|Health Sciences,Public,14770,Wildcats,Competitive D1 program with solid development environment.,https://www.university36.edu
d1g-37,University 37,girls,City37,MI,30.5224,-97.198,ACC,98,85,Biology|Health Sciences,Public,33914,Huskies,Competitive D1 program with solid development environment.,https://www.university37.edu
d1g-38,University 38,girls,City38,NY,26.7904,-91.4286,Sun Belt,95,85,Health Sciences|Business,Private,40300,Wildcats,Competitive D1 program with solid development environment.,https://www.university38.edu
d1g-39,University 39,girls,City39,FL,27.5519,-101.2178,Big Ten,85,60,Health Sciences|Business,Public,22914,Cardinal,Competitive D1 program with solid development environment.,https://www.university39.edu
d1g-40,University 40,girls,City40,GA,26.2525,-78.738,Ivy,76,73,Psychology|Biology,Public,4916,Spartans,Competitive D1 program with solid development environment.,https://www.university40.edu
d1g-41,University 41,girls,City41,MI,37.5312,-105.2961,C-USA,86,96,Communications|Psychology,Public,11660,Eagles,Competitive D1 program with solid development environment.,https://www.university41.edu
d1g-42,University 42,girls,City42,NC,33.2607,-94.1798,SEC,82,66,Engineering|Psychology,Private,5273,Eagles,Competitive D1 program with solid development environment.,https://www.university42.edu
d1g-43,University 43,girls,City43,NC,30.9778,-100.4778,WCC,97,61,Biology|Communications,Public,28453,Wildcats,Competitive D1 program with solid development environment.,https://www.university43.edu
d1g-44,University 44,girls,City44,VA,32.345,-80.3691,AAC,89,70,Communications|Engineering,Public,16517,Bulldogs,Competitive D1 program with solid development environment.,https://www.university44.edu
d1g-45,University 45,girls,City45,VA,41.6525,-86.8522,SEC,73,65,Business|Psychology,Private,13483,Tigers,Competitive D1 program with solid development environment.,https://www.university45.edu
d1g-46,University 46,girls,City46,NY,36.3406,-108.454,Big 12,94,96,Psychology|Biology,Private,8241,Bulldogs,Competitive D1 program with solid development environment.,https://www.university46.edu
d1g-47,University 47,girls,City47,PA,37.2654,-84.089,AAC,78,73,Communications|Biology,Private,7615,Cardinal,Competitive D1 program with solid development environment.,https://www.university47.edu
d1g-48,University 48,girls,City48,FL,41.0065,-70.1506,C-USA,99,85,Business|Health Sciences,Public,15035,Bruins,Competitive D1 program with solid development environment.,https://www.university48.edu
d1g-49,University 49,girls,City49,NY,32.7235,-75.1765,Pac-12,83,76,Biology|Business,Private,44699,Eagles,Competitive D1 program with solid development environment.,https://www.university49.edu
d1g-50,University 50,girls,City50,CA,32.1887,-96.7179,Pac-12,96,70,Engineering|Communications,Private,9589,Eagles,Competitive D1 program with solid development environment.,https://www.university50.edu
d1g-51,University 51,girls,City51,NC,25.0354,-117.3387,Pac-12,97,62,Communications|Business,Public,24942,Huskies,Competitive D1 program with solid development environment.,https://www.university51.edu
d1g-52,University 52,girls,City52,PA,36.365,-113.1735,Ivy,88,95,Engineering|Biology,Public,32770,Bulldogs,Competitive D1 program with solid development environment.,https://www.university52.edu
d1g-53,University 53,girls,City53,OH,31.6691,-83.4671,Sun Belt,83,67,Engineering|Psychology,Public,37621,Cardinal,Competitive D1 program with solid development environment.,https://www.university53.edu
d1g-54,University 54,girls,City54,NY,38.9673,-70.6474,C-USA,74,85,Psychology|Engineering,Private,45824,Wildcats,Competitive D1 program with solid development environment.,https://www.university54.edu
d1g-55,University 55,girls,City55,NC,37.9521,-97.0015,AAC,81,68,Health Sciences|Psychology,Private,11272,Cardinal,Competitive D1 program with solid development environment.,https://www.university55.edu
d1g-56,University 56,girls,City56,MI,32.4155,-81.9601,Big 12,91,74,Psychology|Communications,Public,3069,Wildcats,Competitive D1 program with solid development environment.,https://www.university56.edu
d1g-57,University 57,girls,City57,PA,43.3943,-79.0937,C-USA,75,63,Communications|Business,Public,49230,Bulldogs,Competitive D1 program with solid development environment.,https://www.university57.edu
d1g-58,University 58,girls,City58,PA,41.7292,-94.429,ACC,76,62,Business|Biology,Public,42236,Cardinal,Competitive D1 program with solid development environment.,https://www.university58.edu
d1g-59,University 59,girls,City59,NC,31.5773,-83.7643,C-USA,76,60,Biology|Health Sciences,Private,32041,Eagles,Competitive D1 program with solid development environment.,https://www.university59.edu
d1g-60,University 60,girls,City60,CA,27.1657,-117.0387,AAC,80,84,Psychology|Engineering,Public,4760,Cardinal,Competitive D1 program with solid development environment.,https://www.university60.edu
d1g-61,University 61,girls,City61,VA,30.1457,-98.0343,Big 12,95,87,Biology|Business,Private,4200,Cardinal,Competitive D1 program with solid development environment.,https://www.university61.edu
d1g-62,University 62,girls,City62,CA,42.7033,-84.1894,C-USA,70,94,Psychology|Communications,Public,38078,Wildcats,Competitive D1 program with solid development environment.,https://www.university62.edu
d1g-63,University 63,girls,City63,NC,31.5147,-75.0714,C-USA,80,93,Health Sciences|Engineering,Public,30308,Eagles,Competitive D1 program with solid development environment.,https://www.university63.edu
d1g-64,University 64,girls,City64,PA,31.519,-113.9459,Big Ten,79,77,Engineering|Business,Public,37900,Eagles,Competitive D1 program with solid development environment.,https://www.university64.edu
d1g-65,University 65,girls,City65,TX,37.7009,-89.6916,C-USA,83,79,Communications|Health Sciences,Private,19210,Cardinal,Competitive D1 program with solid development environment.,https://www.university65.edu
d1g-66,University 66,girls,City66,TX,26.9355,-77.2447,C-USA,84,60,Biology|Business,Private,23134,Bulldogs,Competitive D1 program with solid development environment.,https://www.university66.edu
d1g-67,University 67,girls,City67,VA,25.0654,-94.187,WCC,71,98,Health Sciences|Business,Public,9512,Huskies,Competitive D1 program with solid development environment.,https://www.university67.edu
d1g-68,University 68,girls,City68,FL,43.5102,-76.2591,WCC,84,80,Biology|Health Sciences,Private,47057,Tigers,Competitive D1 program with solid development environment.,https://www.university68.edu
d1g-69,University 69,girls,City69,NC,44.3006,-105.4761,Ivy,70,67,Biology|Health Sciences,Private,41484,Bulldogs,Competitive D1 program with solid development environment.,https://www.university69.edu
d1g-70,University 70,girls,City70,CA,35.7434,-78.8724,AAC,79,69,Biology|Business,Public,13663,Cardinal,Competitive D1 program with solid development environment.,https://www.university70.edu
d1g-71,University 71,girls,City71,NY,40.0711,-88.6292,ACC,87,80,Business|Health Sciences,Private,2908,Huskies,Competitive D1 program with solid development environment.,https://www.university71.edu
d1g-72,University 72,girls,City72,NY,29.1045,-115.0092,SEC,89,95,Engineering|Biology,Private,46796,Wildcats,Competitive D1 program with solid development environment.,https://www.university72.edu
d1g-73,University 73,girls,City73,MI,29.9744,-116.0331,AAC,77,69,Biology|Health Sciences,Private,24136,Eagles,Competitive D1 program with solid development environment.,https://www.university73.edu
d1g-74,University 74,girls,City74,VA,40.7732,-97.3071,ACC,72,93,Business|Communications,Private,33422,Spartans,Competitive D1 program with solid development environment.,https://www.university74.edu
d1g-75,University 75,girls,City75,PA,32.43,-111.1721,Ivy,70,83,Health Sciences|Business,Public,49370,Bruins,Competitive D1 program with solid development environment.,https://www.university75.edu
d1g-76,University 76,girls,City76,MI,33.2863,-78.486,WCC,80,95,Communications|Engineering,Private,49398,Cardinal,Competitive D1 program with solid development environment.,https://www.university76.edu
d1g-77,University 77,girls,City77,CA,25.9596,-81.278,Ivy,87,64,Biology|Engineering,Private,36785,Eagles,Competitive D1 program with solid development environment.,https://www.university77.edu
d1g-78,University 78,girls,City78,NC,41.4095,-79.9528,Ivy,71,99,Health Sciences|Biology,Public,20273,Bruins,Competitive D1 program with solid development environment.,https://www.university78.edu
d1g-79,University 79,girls,City79,VA,29.1811,-94.5816,WCC,85,82,Business|Health Sciences,Public,37484,Eagles,Competitive D1 program with solid development environment.,https://www.university79.edu
d1g-80,University 80,girls,City80,CA,39.294,-70.9552,SEC,97,65,Health Sciences|Engineering,Private,5972,Huskies,Competitive D1 program with solid development environment.,https://www.university80.edu
d1g-81,University 81,girls,City81,VA,38.6283,-88.3386,C-USA,89,71,Communications|Engineering,Private,45049,Tigers,Competitive D1 program with solid development environment.,https://www.university81.edu
d1g-82,University 82,girls,City82,MI,29.6312,-109.4846,Ivy,92,72,Business|Psychology,Private,37942,Bulldogs,Competitive D1 program with solid development environment.,https://www.university82.edu
d1g-83,University 83,girls,City83,NC,31.6282,-71.9502,Big Ten,92,89,Business|Psychology,Public,36542,Tigers,Competitive D1 program with solid development environment.,https://www.university83.edu
d1g-84,University 84,girls,City84,PA,41.7799,-102.6774,ACC,75,67,Biology|Communications,Public,25116,Wildcats,Competitive D1 program with solid development environment.,https://www.university84.edu
d1g-85,University 85,girls,City85,GA,29.6472,-89.6531,ACC,76,67,Health Sciences|Biology,Private,42619,Bulldogs,Competitive D1 program with solid development environment.,https://www.university85.edu
d1g-86,University 86,girls,City86,NY,42.7422,-92.0245,Big 12,90,93,Psychology|Business,Public,45267,Cardinal,Competitive D1 program with solid development environment.,https://www.university86.edu
d1g-87,University 87,girls,City87,TX,37.2932,-106.2968,Big Ten,71,70,Biology|Business,Public,21396,Cardinal,Competitive D1 program with solid development environment.,https://www.university87.edu
d1g-88,University 88,girls,City88,CA,43.2388,-96.7798,SEC,98,75,Engineering|Business,Private,41388,Eagles,Competitive D1 program with solid development environment.,https://www.university88.edu
d1g-89,University 89,girls,City89,MI,29.8238,-95.251,Pac-12,71,68,Engineering|Business,Private,44820,Spartans,Competitive D1 program with solid development environment.,https://www.university89.edu
d1g-90,University 90,girls,City90,OH,39.6137,-107.9269,Big Ten,97,84,Health Sciences|Biology,Public,17744,Huskies,Competitive D1 program with solid development environment.,https://www.university90.edu
d1g-91,University 91,girls,City91,NY,35.0899,-76.1477,Ivy,70,69,Biology|Health Sciences,Public,27890,Wildcats,Competitive D1 program with solid development environment.,https://www.university91.edu
d1g-92,University 92,girls,City92,NC,39.8383,-102.5754,ACC,95,78,Psychology|Business,Public,29978,Spartans,Competitive D1 program with solid development environment.,https://www.university92.edu
d1g-93,University 93,girls,City93,CA,36.9909,-112.9592,WCC,75,80,Biology|Health Sciences,Public,14419,Bulldogs,Competitive D1 program with solid development environment.,https://www.university93.edu
d1g-94,University 94,girls,City94,GA,32.0659,-119.7233,AAC,81,79,Biology|Engineering,Private,17088,Wildcats,Competitive D1 program with solid development environment.,https://www.university94.edu
d1g-95,University 95,girls,City95,CA,38.0551,-92.1343,Ivy,95,63,Psychology|Business,Private,15401,Bulldogs,Competitive D1 program with solid development environment.,https://www.university95.edu
d1g-96,University 96,girls,City96,GA,41.1099,-98.8883,Ivy,71,84,Biology|Communications,Private,14424,Eagles,Competitive D1 program with solid development environment.,https://www.university96.edu
d1g-97,University 97,girls,City97,NY,40.9382,-79.6175,AAC,79,89,Health Sciences|Biology,Public,33241,Cardinal,Competitive D1 program with solid development environment.,https://www.university97.edu
d1g-98,University 98,girls,City98,GA,28.1774,-119.4396,Sun Belt,94,70,Health Sciences|Biology,Public,46872,Wildcats,Competitive D1 program with solid development environment.,https://www.university98.edu
d1g-99,University 99,girls,City99,PA,35.8636,-93.731,Big Ten,92,79,Engineering|Communications,Public,28107,Huskies,Competitive D1 program with solid development environment.,https://www.university99.edu
d1g-100,University 100,girls,City100,TX,37.3126,-107.1344,Pac-12,75,60,Psychology|Communications,Private,43622,Spartans,Competitive D1 program with solid development environment.,https://www.university100.edu
d1g-101,University 101,girls,City101,FL,31.429,-76.355,Pac-12,88,73,Communications|Biology,Private,38794,Tigers,Competitive D1 program with solid development environment.,https://www.university101.edu
d1g-102,University 102,girls,City102,MI,27.0446,-85.776,ACC,74,89,Business|Engineering,Public,12606,Eagles,Competitive D1 program with solid development environment.,https://www.university102.edu
d1g-103,University 103,girls,City103,MI,30.4046,-100.6773,Pac-12,72,69,Engineering|Communications,Private,39519,Cardinal,Competitive D1 program with solid development environment.,https://www.university103.edu
d1g-104,University 104,girls,City104,PA,27.2451,-102.9105,SEC,73,68,Communications|Engineering,Public,40153,Bulldogs,Competitive D1 program with solid development environment.,https://www.university104.edu
d1g-105,University 105,girls,City105,CA,39.5675,-102.2112,Sun Belt,92,95,Psychology|Engineering,Private,13959,Huskies,Competitive D1 program with solid development environment.,https://www.university105.edu
d1g-106,University 106,girls,City106,CA,36.1248,-105.5639,Ivy,88,82,Communications|Business,Private,39255,Eagles,Competitive D1 program with solid development environment.,https://www.university106.edu
d1g-107,University 107,girls,City107,CA,25.9508,-109.1319,AAC,70,98,Biology|Engineering,Public,15311,Cardinal,Competitive D1 program with solid development environment.,https://www.university107.edu
d1g-108,University 108,girls,City108,GA,33.313,-92.6795,AAC,94,94,Health Sciences|Engineering,Private,2481,Eagles,Competitive D1 program with solid development environment.,https://www.university108.edu
d1g-109,University 109,girls,City109,CA,27.8616,-118.0406,WCC,82,82,Psychology|Communications,Private,15000,Wildcats,Competitive D1 program with solid development environment.,https://www.university109.edu
d1g-110,University 110,girls,City110,NY,39.9685,-118.9965,Sun Belt,89,85,Business|Engineering,Private,27808,Bulldogs,Competitive D1 program with solid development environment.,https://www.university110.edu
d1g-111,University 111,girls,City111,TX,43.7878,-107.1264,SEC,72,71,Psychology|Biology,Private,46468,Huskies,Competitive D1 program with solid development environment.,https://www.university111.edu
d1g-112,University 112,girls,City112,NY,30.7719,-103.7326,Big 12,85,69,Psychology|Business,Public,5560,Huskies,Competitive D1 program with solid development environment.,https://www.university112.edu
d1g-113,University 113,girls,City113,NC,27.6667,-111.5238,Sun Belt,84,81,Business|Engineering,Public,45199,Wildcats,Competitive D1 program with solid development environment.,https://www.university113.edu
d1g-114,University 114,girls,City114,MI,39.4593,-93.5534,Sun Belt,99,88,Biology|Engineering,Public,14560,Cardinal,Competitive D1 program with solid development environment.,https://www.university114.edu
d1g-115,University 115,girls,City115,NY,31.0322,-106.6586,Big 12,81,61,Health Sciences|Business,Private,45953,Cardinal,Competitive D1 program with solid development environment.,https://www.university115.edu
d1g-116,University 116,girls,City116,PA,43.2505,-82.5444,WCC,87,85,Business|Psychology,Private,14937,Tigers,Competitive D1 program with solid development environment.,https://www.university116.edu
d1g-117,University 117,girls,City117,CA,44.6733,-109.5114,Big 12,87,88,Business|Communications,Public,46861,Bulldogs,Competitive D1 program with solid development environment.,https://www.university117.edu
d1g-118,University 118,girls,City118,OH,33.6349,-98.7177,Sun Belt,97,94,Communications|Health Sciences,Public,6106,Eagles,Competitive D1 program with solid development environment.,https://www.university118.edu
d1g-119,University 119,girls,City119,TX,28.6276,-114.6332,WCC,81,75,Engineering|Business,Private,44332,Wildcats,Competitive D1 program with solid development environment.,https://www.university119.edu
d1g-120,University 120,girls,City120,FL,27.0694,-72.1782,Big 12,98,97,Health Sciences|Psychology,Private,31872,Spartans,Competitive D1 program with solid development environment.,https://www.university120.edu
d1g-121,University 121,girls,City121,PA,41.364,-79.7562,WCC,83,96,Business|Psychology,Public,16669,Tigers,Competitive D1 program with solid development environment.,https://www.university121.edu
d1g-122,University 122,girls,City122,CA,37.397,-100.2085,C-USA,77,65,Psychology|Engineering,Private,30231,Wildcats,Competitive D1 program with solid development environment.,https://www.university122.edu
d1g-123,University 123,girls,City123,VA,36.6773,-111.5973,Sun Belt,92,81,Psychology|Communications,Private,33754,Cardinal,Competitive D1 program with solid development environment.,https://www.university123.edu
d1g-124,University 124,girls,City124,CA,31.063,-72.7157,Pac-12,79,83,Communications|Biology,Public,7993,Tigers,Competitive D1 program with solid development environment.,https://www.university124.edu
d1g-125,University 125,girls,City125,VA,40.2569,-71.1927,Big 12,72,70,Psychology|Engineering,Public,16402,Bruins,Competitive D1 program with solid development environment.,https://www.university125.edu
d1g-126,University 126,girls,City126,NY,41.6168,-85.7827,Sun Belt,93,67,Engineering|Communications,Private,43903,Bulldogs,Competitive D1 program with solid development environment.,https://www.university126.edu
d1g-127,University 127,girls,City127,NC,42.8276,-78.7229,Sun Belt,98,74,Engineering|Health Sciences,Public,12442,Cardinal,Competitive D1 program with solid development environment.,https://www.university127.edu
d1g-128,University 128,girls,City128,GA,44.188,-72.3075,Big Ten,90,82,Communications|Business,Public,18095,Spartans,Competitive D1 program with solid development environment.,https://www.university128.edu
d1g-129,University 129,girls,City129,CA,42.4705,-86.9912,ACC,71,96,Biology|Health Sciences,Private,10688,Bulldogs,Competitive D1 program with solid development environment.,https://www.university129.edu
d1g-130,University 130,girls,City130,GA,33.1715,-78.4263,C-USA,80,77,Engineering|Biology,Private,36030,Wildcats,Competitive D1 program with solid development environment.,https://www.university130.edu
d1g-131,University 131,girls,City131,PA,31.5088,-80.8426,Ivy,95,83,Communications|Health Sciences,Private,20375,Huskies,Competitive D1 program with solid development environment.,https://www.university131.edu
d1g-132,University 132,girls,City132,VA,41.9699,-78.5042,C-USA,92,74,Engineering|Biology,Private,12861,Bulldogs,Competitive D1 program with solid development environment.,https://www.university132.edu
d1g-133,University 133,girls,City133,FL,38.5911,-73.2949,Big Ten,83,90,Business|Engineering,Private,11615,Eagles,Competitive D1 program with solid development environment.,https://www.university133.edu
d1g-134,University 134,girls,City134,FL,32.1077,-84.185,ACC,88,88,Business|Health Sciences,Private,7187,Bruins,Competitive D1 program with solid development environment.,https://www.university134.edu
d1g-135,University 135,girls,City135,PA,30.9378,-95.7621,Ivy,87,63,Business|Psychology,Private,32535,Wildcats,Competitive D1 program with solid development environment.,https://www.university135.edu
d1g-136,University 136,girls,City136,CA,41.1498,-76.4474,AAC,88,86,Biology|Psychology,Private,2167,Spartans,Competitive D1 program with solid development environment.,https://www.university136.edu
d1g-137,University 137,girls,City137,VA,44.6915,-75.8779,C-USA,82,75,Engineering|Communications,Private,15989,Cardinal,Competitive D1 program with solid development environment.,https://www.university137.edu
d1g-138,University 138,girls,City138,NY,28.5909,-102.6452,SEC,82,63,Business|Communications,Public,14936,Eagles,Competitive D1 program with solid development environment.,https://www.university138.edu
d1g-139,University 139,girls,City139,TX,28.4999,-91.2213,Ivy,79,63,Health Sciences|Engineering,Public,15063,Cardinal,Competitive D1 program with solid development environment.,https://www.university139.edu
d1g-140,University 140,girls,City140,CA,32.8264,-97.0789,C-USA,95,65,Business|Health Sciences,Public,23787,Eagles,Competitive D1 program with solid development environment.,https://www.university140.edu
d1g-141,University 141,girls,City141,CA,27.5891,-91.3656,Ivy,98,69,Business|Biology,Public,46552,Tigers,Competitive D1 program with solid development environment.,https://www.university141.edu
d1g-142,University 142,girls,City142,OH,31.8589,-79.0373,Big Ten,97,77,Business|Biology,Private,23990,Spartans,Competitive D1 program with solid development environment.,https://www.university142.edu
d1g-143,University 143,girls,City143,CA,38.1036,-93.2083,C-USA,93,96,Communications|Biology,Private,29352,Huskies,Competitive D1 program with solid development environment.,https://www.university143.edu
d1g-144,University 144,girls,City144,CA,31.1301,-110.6663,C-USA,90,98,Communications|Psychology,Private,13453,Wildcats,Competitive D1 program with solid development environment.,https://www.university144.edu
d1g-145,University 145,girls,City145,CA,31.4855,-77.4109,Ivy,85,98,Business|Psychology,Public,26051,Tigers,Competitive D1 program with solid development environment.,https://www.university145.edu
d1g-146,University 146,girls,City146,TX,26.231,-109.8634,C-USA,85,94,Biology|Engineering,Private,26066,Cardinal,Competitive D1 program with solid development environment.,https://www.university146.edu
d1g-147,University 147,girls,City147,TX,25.0123,-117.9122,AAC,89,76,Business|Biology,Private,32684,Spartans,Competitive D1 program with solid development environment.,https://www.university147.edu
d1g-148,University 148,girls,City148,NC,42.3717,-76.9281,ACC,81,64,Biology|Business,Public,15790,Huskies,Competitive D1 program with solid development environment.,https://www.university148.edu
d1g-149,University 149,girls,City149,VA,38.0815,-93.3021,C-USA,80,63,Biology|Business,Private,14090,Wildcats,Competitive D1 program with solid development environment.,https://www.university149.edu
d1g-150,University 150,girls,City150,CA,28.6913,-109.0062,Big 12,78,70,Health Sciences|Engineering,Public,46967,Huskies,Competitive D1 program with solid development environment.,https://www.university150.edu
d1g-151,University 151,girls,City151,TX,34.2089,-71.6635,SEC,74,70,Health Sciences|Business,Private,23640,Tigers,Competitive D1 program with solid development environment.,https://www.university151.edu
d1g-152,University 152,girls,City152,VA,34.6573,-84.6399,Ivy,75,89,Communications|Health Sciences,Public,48309,Eagles,Competitive D1 program with solid development environment.,https://www.university152.edu
d1g-153,University 153,girls,City153,NC,42.5299,-92.2676,Big Ten,89,92,Engineering|Biology,Public,29257,Cardinal,Competitive D1 program with solid development environment.,https://www.university153.edu
d1g-154,University 154,girls,City154,NC,39.9379,-88.3024,WCC,87,85,Biology|Psychology,Private,13540,Cardinal,Competitive D1 program with solid development environment.,https://www.university154.edu
d1g-155,University 155,girls,City155,GA,33.4304,-97.4185,ACC,92,74,Health Sciences|Biology,Public,29067,Cardinal,Competitive D1 program with solid development environment.,https://www.university155.edu
d1g-156,University 156,girls,City156,NC,40.1229,-101.9703,WCC,89,92,Engineering|Psychology,Public,15757,Bulldogs,Competitive D1 program with solid development environment.,https://www.university156.edu
d1g-157,University 157,girls,City157,CA,44.7681,-95.6882,AAC,77,77,Business|Psychology,Public,7021,Tigers,Competitive D1 program with solid development environment.,https://www.university157.edu
d1g-158,University 158,girls,City158,GA,33.183,-103.1497,Sun Belt,82,93,Communications|Biology,Public,38641,Tigers,Competitive D1 program with solid development environment.,https://www.university158.edu
d1g-159,University 159,girls,City159,TX,40.1239,-71.1632,SEC,93,80,Health Sciences|Biology,Public,18710,Tigers,Competitive D1 program with solid development environment.,https://www.university159.edu
d1g-160,University 160,girls,City160,NY,34.0324,-112.6976,Ivy,99,90,Biology|Health Sciences,Private,37381,Bulldogs,Competitive D1 program with solid development environment.,https://www.university160.edu
d1g-161,University 161,girls,City161,NC,37.8327,-101.1151,AAC,89,84,Biology|Health Sciences,Private,4690,Bulldogs,Competitive D1 program with solid development environment.,https://www.university161.edu
d1g-162,University 162,girls,City162,OH,37.1163,-89.5192,WCC,75,76,Business|Psychology,Public,38415,Huskies,Competitive D1 program with solid development environment.,https://www.university162.edu
